custID,name,suite,dept,address,city,state,stateName,zip,custtype,custTypeID
13,Publishing Company Of North America Incorporated  ,Suite 518 ,N/A       ,978 Degrees Street                                ,Heron Bay           ,AL,Alabama                  ,36523,State/Local Gov     ,S
7,Fedders Corporation                               ,N/A       ,Dept #520 ,3311 Blatantly Circle                             ,Santa Fe Springs    ,CA,California               ,90670,Education           ,E
2,Motts Holdings Incorporated                       ,N/A       ,N/A       ,1618 Greenland Street                             ,Tallahassee         ,FL,Florida                  ,32304,Education           ,E
10,Saint Andrews Golf Corporation                    ,N/A       ,N/A       ,8068 Substances Street                            ,North Miami         ,FL,Florida                  ,33261,US Govt             ,F
6,Fidelity National Corporation Ga                  ,N/A       ,Dept #915 ,11455 Sheaf Drive                                 ,Anthony             ,FL,Florida                  ,32617,State/Local Gov     ,S
28,Gte Corporation                                   ,N/A       ,Dept #532 ,7196 Heaver Lane                                  ,Winter Garden       ,FL,Florida                  ,34777,State/Local Gov     ,S
27,Lnr Property Corporation                          ,N/A       ,N/A       ,9382 Demolition Street                            ,College Square      ,IA,Iowa                     ,50613,US Govt             ,F
11,Synaptic Pharmaceutical Corporation               ,N/A       ,N/A       ,8072 Powerless Street                             ,Bridgeport          ,IL,Illinois                 ,62417,Commercial          ,C
40,Processing Equipment Corporation                  ,N/A       ,Dept #2   ,29843 Klingon Road                                ,Naperville          ,IL,Illinois                 ,60563,Commercial          ,C
32,Greenman Technologies Incorporated                ,N/A       ,N/A       ,4910 Liveried Boulevard                           ,Dabney              ,IN,Indiana                  ,47023,US Govt             ,F
36,Hickory Tech Corporation                          ,N/A       ,Dept #633 ,11119 Periphery Turnpike                          ,Simpson             ,LA,Louisiana                ,71474,US Govt             ,F
16,Meridian Resources Corporation                    ,N/A       ,Dept #804 ,1977 Symbiotic Turnpike                           ,Fall River          ,MA,Massachusetts            ,02724,Commercial          ,C
39,Pricellular Corporation                           ,N/A       ,Dept #5   ,10947 Eagle Street                                ,Lisbon Falls        ,ME,Maine                    ,04252,Commercial          ,C
1,Room Plus Incorporated                            ,Suite 836 ,N/A       ,6037 Ecuadorian Street                            ,Clinton             ,MI,Michigan                 ,49236,Commercial          ,C
4,Magainin Pharmaceuticals Incorporated             ,N/A       ,Dept #332 ,9138 Planetesimal Lane                            ,Twining             ,MI,Michigan                 ,48766,US Govt             ,F
