invoiceID,prodID,amt,qty,discounted,customerID,saleDate
1,22,1954.4,4,0,25,04/30/2005
1,26,4802.7,17,0,25,04/30/2005
1,41,1380.5,8,0,25,04/30/2005
2,11,6731.7,19,0,23,10/09/2006
2,12,4390.2,16,0,23,10/09/2006
2,19,373.4,3,0,23,10/09/2006
2,30,2733.2,11,1,23,10/09/2006
2,33,2769.9,7,0,23,10/09/2006
2,34,4766.7,14,0,23,10/09/2006
3,24,2682,9,0,1,12/01/2010
3,26,4802.7,17,0,1,12/01/2010
3,29,4566.1,9,0,1,12/01/2010
3,47,1557,11,0,1,12/01/2010
3,48,2109.2,6,0,1,12/01/2010
4,3,3226.7,13,0,5,05/15/2009
4,6,2083.7,6,0,5,05/15/2009
4,14,5589.2,13,0,5,05/15/2009
4,33,5935.5,15,0,5,05/15/2009
4,44,393.1,2,0,5,05/15/2009
5,3,1489.3,6,0,16,08/13/2010
5,17,2555.3,10,1,16,08/13/2010
5,20,2787.1,12,0,16,08/13/2010
5,21,5908,13,1,16,08/13/2010
5,25,2891.7,10,0,16,08/13/2010
5,29,1014.7,2,0,16,08/13/2010
5,36,7842.8,17,0,16,08/13/2010
5,46,9332.8,18,0,16,08/13/2010
6,4,1505.5,6,0,18,08/21/2010
6,25,4915.9,17,0,18,08/21/2010
6,39,4215.1,14,0,18,08/21/2010
7,14,8168.9,19,0,9,12/22/2010
7,16,5992.5,13,0,9,12/22/2010
7,17,3172.5,11,0,9,12/22/2010
7,19,2115.8,17,0,9,12/22/2010
7,28,5472.1,10,0,9,12/22/2010
7,46,1037,2,0,9,12/22/2010
8,13,8595.8,20,0,9,01/15/2008
8,27,3371.7,10,0,9,01/15/2008
8,29,3044.1,6,0,9,01/15/2008
8,32,6562.7,16,0,9,01/15/2008
9,14,3009.6,7,0,30,10/27/2009
9,19,900.6,9,1,30,10/27/2009
9,21,6816.9,15,1,30,10/27/2009
9,22,7387.7,18,1,30,10/27/2009
9,32,4168.9,12,1,30,10/27/2009
10,8,7596.3,13,0,13,07/29/2011
10,27,5731.9,17,0,13,07/29/2011
10,29,2029.4,4,0,13,07/29/2011
