invoiceID,customerID,saleDate
1,25,04/30/2005
2,23,10/09/2006
3,1,12/01/2010
4,5,05/15/2009
5,16,08/13/2010
6,18,08/21/2010
7,9,12/22/2010
8,9,01/15/2008
9,30,10/27/2009
10,13,07/29/2011
11,3,05/13/2011
12,22,09/22/2005
13,16,05/16/2006
14,2,10/28/2007
15,18,11/05/2010
16,11,01/06/2006
17,2,11/14/2010
18,29,01/13/2010
19,27,03/19/2008
20,2,08/13/2011
21,5,04/27/2007
22,8,10/25/2008
23,27,08/28/2009
24,23,05/24/2009
25,1,08/13/2008
26,26,10/03/2006
27,14,04/04/2007
28,19,02/15/2007
29,10,05/08/2008
30,7,10/16/2008
31,20,07/08/2010
32,34,04/15/2010
33,29,07/23/2009
34,20,09/29/2011
35,39,06/27/2006
36,6,01/08/2008
37,38,04/30/2011
38,8,02/27/2007
39,15,12/21/2010
40,28,03/02/2010
41,21,06/27/2005
42,17,05/25/2011
43,10,02/23/2007
44,36,10/06/2008
45,18,09/16/2010
46,27,09/15/2007
47,8,10/31/2010
48,20,04/17/2011
49,16,09/17/2005
50,34,06/04/2005
51,21,04/01/2005
52,21,06/03/2010
53,3,11/09/2006
54,8,05/26/2011
55,4,03/13/2010
56,3,04/22/2010
57,34,06/23/2010
58,17,03/03/2010
59,22,12/15/2007
60,4,07/17/2009
61,24,08/05/2005
62,2,08/10/2007
63,38,09/29/2008
64,14,03/16/2006
65,22,04/29/2009
66,38,10/22/2011
67,19,05/11/2009
68,20,10/12/2011
69,6,02/04/2005
70,33,06/17/2005
71,8,09/04/2009
72,26,06/10/2009
73,11,03/16/2007
74,18,07/14/2009
75,23,10/05/2010
76,29,11/01/2008
77,6,12/25/2005
78,30,11/13/2006
79,9,08/12/2007
80,22,11/08/2009
81,25,07/30/2010
82,30,12/13/2007
83,3,04/10/2008
84,27,11/13/2005
85,38,03/03/2005
86,7,06/02/2010
87,30,02/03/2008
88,32,11/14/2007
89,24,10/04/2006
90,12,12/03/2005
91,36,10/26/2005
92,8,07/09/2006
93,13,07/30/2008
94,34,01/08/2006
95,21,08/01/2008
96,34,02/01/2008
97,32,03/20/2007
98,1,06/17/2010
99,14,09/05/2008
100,38,04/06/2005
101,34,03/27/2009
102,22,12/11/2006
103,24,10/29/2011
104,6,12/10/2010
105,1,01/07/2005
106,8,05/15/2010
107,34,03/26/2007
108,7,02/04/2009
109,38,09/20/2010
110,4,06/12/2008
111,28,04/06/2006
112,23,05/30/2005
113,34,07/08/2007
114,31,02/24/2005
