Sales_Year,Sales_Quarter,Sales_Month,Sales_Week,Sales_Fiscal_Year,Sales_Fiscal_Quarter,Sales_Fiscal_Month,Sales_Fiscal_Week,saleDate
2005, 01,1 , 53,2004,4 ,10,41,01/01/2005
2005, 01,1 , 53,2004,4 ,10,41,01/02/2005
2005, 01,1 , 01,2004,4 ,10,41,01/03/2005
2005, 01,1 , 01,2004,4 ,10,41,01/04/2005
2005, 01,1 , 01,2004,4 ,10,41,01/05/2005
2005, 01,1 , 01,2004,4 ,10,41,01/06/2005
2005, 01,1 , 01,2004,4 ,10,41,01/07/2005
2005, 01,1 , 01,2004,4 ,10,41,01/08/2005
2005, 01,1 , 01,2004,4 ,10,41,01/09/2005
2005, 01,1 , 02,2004,4 ,10,42,01/10/2005
2005, 01,1 , 02,2004,4 ,10,42,01/11/2005
2005, 01,1 , 02,2004,4 ,10,42,01/12/2005
2005, 01,1 , 02,2004,4 ,10,42,01/13/2005
2005, 01,1 , 02,2004,4 ,10,42,01/14/2005
2005, 01,1 , 02,2004,4 ,10,42,01/15/2005
2005, 01,1 , 02,2004,4 ,10,42,01/16/2005
2005, 01,1 , 03,2004,4 ,10,43,01/17/2005
2005, 01,1 , 03,2004,4 ,10,43,01/18/2005
2005, 01,1 , 03,2004,4 ,10,43,01/19/2005
2005, 01,1 , 03,2004,4 ,10,43,01/20/2005
2005, 01,1 , 03,2004,4 ,10,43,01/21/2005
2005, 01,1 , 03,2004,4 ,10,43,01/22/2005
2005, 01,1 , 03,2004,4 ,10,43,01/23/2005
2005, 01,1 , 04,2004,4 ,10,44,01/24/2005
2005, 01,1 , 04,2004,4 ,10,44,01/25/2005
2005, 01,1 , 04,2004,4 ,10,44,01/26/2005
2005, 01,1 , 04,2004,4 ,10,44,01/27/2005
2005, 01,1 , 04,2004,4 ,10,44,01/28/2005
2005, 01,1 , 04,2004,4 ,10,44,01/29/2005
2005, 01,1 , 04,2004,4 ,10,44,01/30/2005
2005, 01,1 , 05,2004,4 ,10,45,01/31/2005
2005, 01,2 , 05,2004,4 ,11,45,02/01/2005
2005, 01,2 , 05,2004,4 ,11,45,02/02/2005
2005, 01,2 , 05,2004,4 ,11,45,02/03/2005
2005, 01,2 , 05,2004,4 ,11,45,02/04/2005
2005, 01,2 , 05,2004,4 ,11,45,02/05/2005
2005, 01,2 , 05,2004,4 ,11,45,02/06/2005
2005, 01,2 , 06,2004,4 ,11,46,02/07/2005
2005, 01,2 , 06,2004,4 ,11,46,02/08/2005
2005, 01,2 , 06,2004,4 ,11,46,02/09/2005
2005, 01,2 , 06,2004,4 ,11,46,02/10/2005
2005, 01,2 , 06,2004,4 ,11,46,02/11/2005
2005, 01,2 , 06,2004,4 ,11,46,02/12/2005
2005, 01,2 , 06,2004,4 ,11,46,02/13/2005
2005, 01,2 , 07,2004,4 ,11,47,02/14/2005
2005, 01,2 , 07,2004,4 ,11,47,02/15/2005
2005, 01,2 , 07,2004,4 ,11,47,02/16/2005
2005, 01,2 , 07,2004,4 ,11,47,02/17/2005
2005, 01,2 , 07,2004,4 ,11,47,02/18/2005
2005, 01,2 , 07,2004,4 ,11,47,02/19/2005
2005, 01,2 , 07,2004,4 ,11,47,02/20/2005
2005, 01,2 , 08,2004,4 ,11,48,02/21/2005
2005, 01,2 , 08,2004,4 ,11,48,02/22/2005
2005, 01,2 , 08,2004,4 ,11,48,02/23/2005
2005, 01,2 , 08,2004,4 ,11,48,02/24/2005
2005, 01,2 , 08,2004,4 ,11,48,02/25/2005
2005, 01,2 , 08,2004,4 ,11,48,02/26/2005
2005, 01,2 , 08,2004,4 ,11,48,02/27/2005
2005, 01,2 , 09,2004,4 ,11,49,02/28/2005
2005, 01,3 , 09,2004,4 ,12,49,03/01/2005
2005, 01,3 , 09,2004,4 ,12,49,03/02/2005
2005, 01,3 , 09,2004,4 ,12,49,03/03/2005
2005, 01,3 , 09,2004,4 ,12,49,03/04/2005
2005, 01,3 , 09,2004,4 ,12,49,03/05/2005
2005, 01,3 , 09,2004,4 ,12,49,03/06/2005
2005, 01,3 , 10,2004,4 ,12,50,03/07/2005
2005, 01,3 , 10,2004,4 ,12,50,03/08/2005
2005, 01,3 , 10,2004,4 ,12,50,03/09/2005
2005, 01,3 , 10,2004,4 ,12,50,03/10/2005
2005, 01,3 , 10,2004,4 ,12,50,03/11/2005
2005, 01,3 , 10,2004,4 ,12,50,03/12/2005
2005, 01,3 , 10,2004,4 ,12,50,03/13/2005
2005, 01,3 , 11,2004,4 ,12,51,03/14/2005
2005, 01,3 , 11,2004,4 ,12,51,03/15/2005
2005, 01,3 , 11,2004,4 ,12,51,03/16/2005
2005, 01,3 , 11,2004,4 ,12,51,03/17/2005
2005, 01,3 , 11,2004,4 ,12,51,03/18/2005
2005, 01,3 , 11,2004,4 ,12,51,03/19/2005
2005, 01,3 , 11,2004,4 ,12,51,03/20/2005
2005, 01,3 , 12,2004,4 ,12,52,03/21/2005
2005, 01,3 , 12,2004,4 ,12,52,03/22/2005
2005, 01,3 , 12,2004,4 ,12,52,03/23/2005
2005, 01,3 , 12,2004,4 ,12,52,03/24/2005
2005, 01,3 , 12,2004,4 ,12,52,03/25/2005
2005, 01,3 , 12,2004,4 ,12,52,03/26/2005
2005, 01,3 , 12,2004,4 ,12,52,03/27/2005
2005, 01,3 , 13,2004,4 ,12,1 ,03/28/2005
2005, 01,3 , 13,2004,4 ,12,1 ,03/29/2005
2005, 01,3 , 13,2004,4 ,12,1 ,03/30/2005
2005, 01,3 , 13,2004,4 ,12,1 ,03/31/2005
2005, 02,4 , 13,2005,1 ,1 ,1 ,04/01/2005
2005, 02,4 , 13,2005,1 ,1 ,1 ,04/02/2005
2005, 02,4 , 13,2005,1 ,1 ,1 ,04/03/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/04/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/05/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/06/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/07/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/08/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/09/2005
2005, 02,4 , 14,2005,1 ,1 ,2 ,04/10/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/11/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/12/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/13/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/14/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/15/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/16/2005
2005, 02,4 , 15,2005,1 ,1 ,3 ,04/17/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/18/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/19/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/20/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/21/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/22/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/23/2005
2005, 02,4 , 16,2005,1 ,1 ,4 ,04/24/2005
2005, 02,4 , 17,2005,1 ,1 ,5 ,04/25/2005
2005, 02,4 , 17,2005,1 ,1 ,5 ,04/26/2005
2005, 02,4 , 17,2005,1 ,1 ,5 ,04/27/2005
2005, 02,4 , 17,2005,1 ,1 ,5 ,04/28/2005
2005, 02,4 , 17,2005,1 ,1 ,5 ,04/29/2005
2005, 02,4 , 17,2005,1 ,1 ,5 ,04/30/2005
2005, 02,5 , 17,2005,1 ,2 ,5 ,05/01/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/02/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/03/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/04/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/05/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/06/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/07/2005
2005, 02,5 , 18,2005,1 ,2 ,6 ,05/08/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/09/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/10/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/11/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/12/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/13/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/14/2005
2005, 02,5 , 19,2005,1 ,2 ,7 ,05/15/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/16/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/17/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/18/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/19/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/20/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/21/2005
2005, 02,5 , 20,2005,1 ,2 ,8 ,05/22/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/23/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/24/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/25/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/26/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/27/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/28/2005
2005, 02,5 , 21,2005,1 ,2 ,9 ,05/29/2005
2005, 02,5 , 22,2005,1 ,2 ,10,05/30/2005
2005, 02,5 , 22,2005,1 ,2 ,10,05/31/2005
2005, 02,6 , 22,2005,1 ,3 ,10,06/01/2005
2005, 02,6 , 22,2005,1 ,3 ,10,06/02/2005
2005, 02,6 , 22,2005,1 ,3 ,10,06/03/2005
2005, 02,6 , 22,2005,1 ,3 ,10,06/04/2005
2005, 02,6 , 22,2005,1 ,3 ,10,06/05/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/06/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/07/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/08/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/09/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/10/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/11/2005
2005, 02,6 , 23,2005,1 ,3 ,11,06/12/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/13/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/14/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/15/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/16/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/17/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/18/2005
2005, 02,6 , 24,2005,1 ,3 ,12,06/19/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/20/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/21/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/22/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/23/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/24/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/25/2005
2005, 02,6 , 25,2005,1 ,3 ,13,06/26/2005
2005, 02,6 , 26,2005,1 ,3 ,14,06/27/2005
2005, 02,6 , 26,2005,1 ,3 ,14,06/28/2005
2005, 02,6 , 26,2005,1 ,3 ,14,06/29/2005
2005, 02,6 , 26,2005,1 ,3 ,14,06/30/2005
2005, 03,7 , 26,2005,2 ,4 ,14,07/01/2005
2005, 03,7 , 26,2005,2 ,4 ,14,07/02/2005
2005, 03,7 , 26,2005,2 ,4 ,14,07/03/2005
2005, 03,7 , 27,2005,2 ,4 ,15,07/04/2005
2005, 03,7 , 27,2005,2 ,4 ,15,07/05/2005
2005, 03,7 , 27,2005,2 ,4 ,15,07/06/2005
2005, 03,7 , 27,2005,2 ,4 ,15,07/07/2005
2005, 03,7 , 27,2005,2 ,4 ,15,07/08/2005
2005, 03,7 , 27,2005,2 ,4 ,15,07/09/2005
